##Temp./>C,Time/min,Mass/%,Segment
 72.94200,  6.69000, 97.90476,1
 73.00800,  6.70000, 97.89524,1
 73.06600,  6.71000, 97.89524,1
 73.11900,  6.72000, 97.89524,1
 73.15600,  6.73000, 97.88571,1
 73.20500,  6.74000, 97.88571,1
 73.27000,  6.75000, 97.88571,1
 73.30800,  6.76000, 97.87619,1
 73.36500,  6.77000, 97.87619,1
 73.40800,  6.78000, 97.87619,1
 73.45300,  6.79000, 97.87619,1
 73.51500,  6.80000, 97.86667,1
 73.55500,  6.81000, 97.86667,1
 73.59700,  6.82000, 97.86667,1
 73.66700,  6.83000, 97.86667,1
 73.70400,  6.84000, 97.85714,1
 73.75200,  6.85000, 97.83810,1
 73.81100,  6.86000, 97.83810,1
 73.85300,  6.87000, 97.83810,1
 73.90200,  6.88000, 97.83810,1
 73.96500,  6.89000, 97.82857,1
 73.99100,  6.90000, 97.82857,1
 74.05700,  6.91000, 97.82857,1
